age,annual_income,loan_amount,credit_score,employment_type,existing_loans,loan_term_months,missed_payments_last_year,defaulted
40,845572.0,50000.0,639,Salaried,0,12,2,0
22,785148.0,246680.0,655,Self-Employed,0,24,2,1
21,840411.0,168885.0,499,Self-Employed,0,36,0,0
37,379375.0,464380.0,552,Self-Employed,1,36,1,1
52,653074.0,502312.0,554,Salaried,2,60,1,1
50,536649.0,436364.0,862,Salaried,1,60,1,1
49,381713.0,295403.0,464,Salaried,0,60,1,0
28,966468.0,206452.0,481,Salaried,0,12,0,0
44,355421.0,547276.0,767,Business,2,12,1,1
31,966367.0,89763.0,339,Business,0,48,0,1
62,150000.0,450977.0,394,Salaried,1,12,1,1
56,638331.0,141915.0,413,Salaried,2,48,1,0
21,622901.0,372688.0,847,Salaried,1,12,0,0
28,842567.0,176549.0,740,Salaried,2,24,1,0
44,876677.0,236859.0,860,Salaried,2,24,0,1
49,738913.0,622670.0,702,Salaried,1,48,1,1
53,727116.0,373353.0,361,Salaried,1,24,0,0
42,454738.0,629083.0,889,Salaried,2,48,1,0
57,454256.0,510581.0,536,Business,0,60,0,1
56,568543.0,315737.0,696,Salaried,1,60,2,1
54,758010.0,508992.0,432,Self-Employed,0,60,2,1
24,710357.0,192080.0,608,Self-Employed,1,12,0,0
48,788518.0,558180.0,699,Business,1,24,1,0
54,917796.0,205751.0,312,Business,2,60,1,0
40,591636.0,50000.0,480,Salaried,2,24,1,0
48,612311.0,593193.0,596,Salaried,1,12,1,0
25,629684.0,393765.0,864,Salaried,1,36,2,0
40,150000.0,88398.0,658,Self-Employed,1,48,0,0
54,862993.0,368650.0,582,Salaried,0,48,2,1
51,513769.0,473638.0,657,Salaried,2,60,1,0
58,1079460.0,308655.0,638,Business,1,60,0,0
30,593267.0,494940.0,340,Salaried,0,36,1,1
50,527791.0,871029.0,682,Salaried,2,12,1,1
38,150000.0,477669.0,329,Self-Employed,4,24,0,1
52,1255751.0,595594.0,695,Salaried,0,48,2,0
23,897898.0,266575.0,759,Business,2,24,1,0
40,1010638.0,457178.0,790,Salaried,1,48,1,0
39,999408.0,629919.0,895,Self-Employed,2,12,0,0
42,513007.0,435461.0,484,Business,1,48,1,1
24,675809.0,50000.0,554,Salaried,0,60,0,0
32,462945.0,538847.0,393,Business,0,12,0,0
37,648844.0,479734.0,671,Self-Employed,2,36,1,1
33,1079065.0,455284.0,436,Salaried,1,48,1,1
50,724432.0,403630.0,635,Salaried,0,60,0,0
64,691677.0,236413.0,705,Salaried,2,36,0,0
62,473827.0,104838.0,804,Self-Employed,1,12,0,0
30,880190.0,562491.0,734,Business,4,48,1,0
33,608136.0,219525.0,347,Self-Employed,1,24,1,0
24,890704.0,797400.0,361,Business,2,12,1,1
35,741580.0,406146.0,671,Business,0,24,1,0
41,883695.0,503572.0,896,Salaried,0,36,0,0
36,1055699.0,568640.0,547,Salaried,2,36,0,0
56,309902.0,615672.0,482,Business,1,60,0,1
25,341683.0,396235.0,376,Salaried,1,24,0,1
64,712133.0,391561.0,313,Business,1,48,0,0
29,513206.0,425625.0,689,Business,4,12,1,1
47,663418.0,483054.0,522,Self-Employed,2,36,0,0
64,615840.0,215963.0,394,Salaried,0,12,2,0
44,662709.0,50000.0,578,Self-Employed,1,24,1,0
34,808114.0,277247.0,598,Business,1,24,1,0
60,866723.0,251082.0,611,Salaried,0,12,0,0
24,228640.0,511079.0,652,Salaried,0,24,0,1
50,660204.0,484213.0,606,Salaried,1,60,0,1
33,704652.0,454636.0,519,Business,1,24,1,0
33,692800.0,365720.0,305,Self-Employed,2,12,0,1
36,649969.0,435048.0,755,Salaried,0,12,0,0
50,1002771.0,636474.0,478,Salaried,0,24,0,0
29,588296.0,50000.0,411,Business,1,12,0,0
59,791002.0,709769.0,344,Salaried,1,48,0,1
27,605920.0,129015.0,497,Salaried,0,12,0,0
42,811068.0,583647.0,618,Self-Employed,0,24,0,0
48,622597.0,644340.0,555,Business,1,12,0,0
28,150000.0,516395.0,701,Salaried,1,60,1,1
38,456654.0,195102.0,623,Salaried,1,12,1,0
63,580542.0,510363.0,578,Salaried,1,36,2,1
26,532398.0,484765.0,479,Self-Employed,2,60,0,1
57,389020.0,235111.0,830,Salaried,1,48,1,0
62,360832.0,187663.0,769,Salaried,3,60,0,0
62,758177.0,656639.0,476,Self-Employed,1,36,2,1
50,783698.0,466324.0,518,Salaried,0,48,1,0
47,772469.0,525254.0,694,Self-Employed,1,36,1,1
21,830187.0,275018.0,681,Salaried,1,24,0,0
43,683683.0,475621.0,458,Salaried,1,60,0,0
55,737773.0,382920.0,677,Business,1,24,0,0
33,950592.0,293412.0,726,Salaried,0,60,0,0
27,983743.0,224271.0,697,Self-Employed,3,36,0,0
61,536729.0,406009.0,611,Business,0,12,2,0
55,994436.0,50000.0,802,Salaried,0,60,1,0
63,899744.0,374045.0,394,Business,1,12,2,0
50,726421.0,594633.0,687,Salaried,2,12,0,1
59,966430.0,126832.0,798,Business,1,48,1,0
63,880154.0,462610.0,870,Self-Employed,1,24,1,0
38,516146.0,414048.0,862,Salaried,1,60,0,0
26,657777.0,594212.0,825,Self-Employed,0,60,1,1
36,975368.0,622651.0,840,Salaried,1,60,0,0
33,1021862.0,486119.0,635,Business,0,24,1,0
62,503879.0,298787.0,808,Business,1,12,0,0
61,871428.0,179579.0,719,Salaried,0,48,2,1
49,722309.0,277485.0,845,Self-Employed,2,12,0,0
58,246772.0,528498.0,854,Salaried,2,24,1,1
30,150000.0,483380.0,575,Self-Employed,0,12,1,1
44,499104.0,454466.0,601,Salaried,1,60,1,1
42,524857.0,245443.0,644,Salaried,1,60,1,0
25,674465.0,541940.0,771,Salaried,2,36,0,1
48,1302622.0,126064.0,714,Salaried,0,60,0,0
33,907240.0,360876.0,471,Business,0,36,1,1
62,272982.0,413382.0,731,Self-Employed,1,48,1,0
32,936280.0,870838.0,436,Salaried,1,12,0,1
27,485490.0,224837.0,631,Salaried,1,24,0,0
54,888016.0,313592.0,433,Salaried,1,36,1,0
42,264696.0,425002.0,345,Salaried,0,12,0,0
42,742448.0,486678.0,551,Salaried,1,36,0,0
51,429312.0,673602.0,538,Business,1,60,0,1
64,630914.0,213174.0,888,Business,2,36,0,0
49,969262.0,82213.0,313,Self-Employed,1,60,0,0
33,741866.0,647608.0,407,Salaried,1,36,0,1
33,538248.0,511120.0,693,Salaried,1,12,0,1
57,506481.0,263634.0,451,Salaried,0,36,0,0
28,514997.0,124289.0,767,Business,3,48,0,0
42,937993.0,314822.0,858,Salaried,4,36,2,1
62,851687.0,442555.0,490,Business,1,24,1,0
59,543276.0,178565.0,457,Self-Employed,0,36,0,1
36,586520.0,50000.0,558,Salaried,4,60,0,1
64,296715.0,640610.0,367,Salaried,2,24,1,1
39,924714.0,526724.0,536,Self-Employed,0,36,0,0
49,902080.0,398524.0,604,Self-Employed,0,24,0,0
37,360604.0,447148.0,380,Salaried,0,48,0,1
26,150000.0,430729.0,530,Salaried,2,12,1,0
56,960467.0,67488.0,823,Business,0,36,2,0
34,216434.0,242221.0,419,Self-Employed,3,12,0,1
53,560110.0,438311.0,316,Salaried,1,48,1,0
44,590165.0,337675.0,376,Salaried,1,24,2,1
52,504604.0,596658.0,886,Self-Employed,1,24,0,0
54,581134.0,446560.0,877,Self-Employed,0,60,1,0
61,424452.0,233083.0,438,Business,1,60,0,0
48,802488.0,339503.0,409,Self-Employed,2,48,1,0
35,609240.0,196220.0,814,Self-Employed,3,12,2,0
62,1035960.0,237599.0,518,Self-Employed,0,48,2,1
63,810109.0,398201.0,429,Business,2,48,2,0
53,899300.0,520246.0,483,Salaried,1,36,0,0
55,459324.0,734681.0,872,Salaried,2,12,2,1
52,977748.0,390974.0,834,Salaried,2,48,2,1
59,851368.0,248772.0,690,Business,0,12,0,0
39,671245.0,451599.0,845,Self-Employed,0,48,0,0
30,585076.0,50000.0,866,Self-Employed,1,36,0,0
30,658297.0,590900.0,836,Salaried,0,48,0,1
34,713397.0,480542.0,874,Salaried,3,12,1,0
42,997652.0,618202.0,361,Salaried,1,24,1,0
64,793661.0,311310.0,375,Salaried,0,48,1,0
22,767250.0,54171.0,525,Salaried,2,12,1,0
52,582623.0,367514.0,395,Self-Employed,0,24,0,0
35,496050.0,408795.0,707,Salaried,0,48,2,1
37,957211.0,50000.0,446,Salaried,2,48,0,1
46,451402.0,339538.0,441,Self-Employed,0,48,1,0
54,204062.0,314626.0,346,Self-Employed,1,48,0,1
42,480994.0,802370.0,637,Business,1,36,1,1
40,492664.0,620963.0,336,Salaried,2,24,1,1
39,895339.0,476347.0,369,Salaried,0,24,0,0
21,858749.0,87306.0,789,Salaried,0,24,0,0
34,519714.0,399556.0,853,Salaried,1,48,2,0
31,414288.0,78116.0,617,Business,2,60,1,1
48,996371.0,548165.0,573,Business,2,24,1,1
49,472518.0,68306.0,351,Business,1,60,0,1
29,322041.0,433529.0,312,Salaried,0,12,1,1
54,817493.0,461387.0,462,Salaried,0,24,0,0
57,453882.0,152119.0,427,Salaried,0,36,0,0
46,786339.0,570248.0,871,Salaried,2,36,1,0
63,959757.0,396931.0,371,Self-Employed,0,60,0,0
49,828694.0,415364.0,570,Self-Employed,1,36,0,1
28,538610.0,318770.0,696,Salaried,0,60,0,1
36,798796.0,297826.0,679,Salaried,0,60,1,0
21,462143.0,694523.0,656,Salaried,1,24,1,1
39,594754.0,470164.0,734,Self-Employed,0,36,1,0
60,739699.0,501162.0,500,Self-Employed,1,24,0,0
21,633206.0,358722.0,371,Salaried,2,12,0,0
30,802492.0,431809.0,375,Self-Employed,1,24,0,0
55,683065.0,399543.0,341,Salaried,1,24,0,0
64,616133.0,330807.0,464,Salaried,1,48,1,1
26,450059.0,536347.0,554,Self-Employed,1,60,0,1
42,691910.0,470499.0,408,Salaried,2,12,0,0
37,452657.0,310693.0,769,Salaried,1,24,1,0
62,523823.0,213072.0,707,Business,1,60,0,0
32,666828.0,551612.0,673,Business,1,12,0,0
63,663932.0,377546.0,329,Salaried,1,36,0,0
53,544409.0,463284.0,812,Self-Employed,0,48,0,0
61,450517.0,96578.0,756,Salaried,1,36,2,0
57,607002.0,307327.0,386,Salaried,2,24,0,0
26,153245.0,371466.0,762,Business,1,24,1,1
49,674322.0,160253.0,741,Self-Employed,0,36,1,0
64,719955.0,140520.0,898,Business,2,36,1,0
50,930466.0,470362.0,444,Salaried,0,36,1,1
63,601878.0,350518.0,463,Salaried,1,48,1,0
52,342600.0,186767.0,781,Salaried,3,36,0,0
28,856404.0,612369.0,851,Business,0,24,1,0
49,847910.0,770244.0,813,Self-Employed,1,36,1,1
35,817047.0,387016.0,641,Business,1,24,0,0
34,531681.0,331819.0,767,Self-Employed,0,60,0,0
40,974826.0,450719.0,738,Salaried,3,24,0,0
62,745820.0,586528.0,308,Salaried,1,48,0,0
34,930934.0,409570.0,464,Self-Employed,2,48,1,1
45,535424.0,482395.0,571,Salaried,1,24,0,0
24,970601.0,503899.0,498,Business,0,24,0,0
28,150000.0,207469.0,521,Salaried,0,24,1,0
63,1014590.0,115213.0,549,Salaried,2,60,1,0
53,1066073.0,674441.0,677,Business,1,60,1,0
54,930861.0,382994.0,449,Salaried,0,12,0,0
32,601808.0,330198.0,883,Salaried,0,24,0,0
48,428612.0,294041.0,738,Salaried,0,36,1,0
25,672788.0,310945.0,312,Salaried,1,12,0,1
59,836125.0,269156.0,497,Salaried,2,12,0,0
52,912640.0,207877.0,349,Salaried,1,60,0,0
51,923250.0,319954.0,332,Business,3,60,0,0
35,1108348.0,134133.0,303,Self-Employed,2,60,1,1
64,692441.0,199206.0,753,Salaried,1,60,1,0
33,599138.0,499325.0,312,Salaried,1,60,0,0
37,519256.0,50000.0,386,Salaried,0,12,2,1
47,398780.0,379483.0,418,Salaried,2,12,1,1
53,865976.0,436333.0,556,Salaried,2,24,0,0
64,741198.0,460820.0,530,Salaried,2,12,2,0
54,494297.0,261371.0,586,Business,2,48,1,0
29,150000.0,542361.0,373,Salaried,3,24,0,0
51,505929.0,835243.0,424,Salaried,1,48,1,0
54,762423.0,544943.0,734,Business,2,36,0,0
36,753988.0,519223.0,583,Salaried,2,24,0,0
43,831489.0,129368.0,880,Salaried,0,48,0,0
55,1127756.0,412199.0,771,Business,0,60,0,0
33,589454.0,839589.0,539,Self-Employed,2,36,0,1
25,771376.0,265240.0,787,Salaried,0,24,0,0
41,1010426.0,538799.0,329,Salaried,2,24,2,1
64,574445.0,268674.0,308,Salaried,1,48,0,1
39,722216.0,876854.0,745,Business,1,12,0,0
42,442583.0,899802.0,365,Self-Employed,0,24,0,1
43,150000.0,369639.0,653,Self-Employed,0,60,0,1
39,1203361.0,50000.0,885,Salaried,3,36,1,0
26,774470.0,506435.0,344,Business,1,36,3,1
60,843914.0,600656.0,585,Self-Employed,1,24,2,0
26,550338.0,64952.0,837,Business,1,60,0,0
26,557176.0,514887.0,552,Business,2,24,1,1
27,210553.0,261556.0,669,Salaried,2,60,0,1
52,823135.0,423700.0,462,Salaried,0,60,0,0
50,532849.0,638694.0,836,Salaried,0,12,0,0
37,938249.0,282637.0,513,Self-Employed,0,12,1,0
63,449391.0,555888.0,602,Self-Employed,1,48,0,0
25,484336.0,536697.0,302,Self-Employed,2,24,1,1
59,1009512.0,524982.0,323,Business,1,48,0,0
34,636483.0,563878.0,677,Salaried,3,24,1,1
23,1142760.0,336449.0,720,Salaried,1,60,1,0
33,629272.0,50000.0,389,Salaried,3,24,0,1
45,424892.0,194784.0,550,Salaried,1,48,1,0
48,630836.0,374157.0,362,Business,1,24,0,0
37,780754.0,622193.0,806,Salaried,0,36,0,1
26,885334.0,535674.0,696,Self-Employed,0,24,1,0
61,402962.0,50903.0,594,Salaried,0,36,1,0
50,345423.0,294762.0,350,Self-Employed,2,12,0,0
30,601793.0,278174.0,658,Salaried,0,60,0,0
60,613335.0,502253.0,799,Business,3,48,0,1
35,925208.0,270129.0,841,Self-Employed,1,36,0,0
27,677501.0,460879.0,338,Self-Employed,0,60,0,0
23,982720.0,364221.0,746,Salaried,1,48,1,0
58,756974.0,512693.0,592,Salaried,0,24,0,0
43,1010300.0,663015.0,801,Salaried,0,48,0,0
30,1303304.0,248004.0,303,Salaried,0,36,1,0
56,332446.0,298566.0,864,Self-Employed,2,60,0,1
36,544028.0,459452.0,435,Salaried,1,36,0,1
41,786102.0,254520.0,388,Salaried,3,12,1,1
53,926982.0,185199.0,800,Business,1,36,0,0
56,403789.0,464439.0,398,Self-Employed,1,60,1,1
42,663308.0,579901.0,696,Salaried,1,12,0,1
27,384716.0,491776.0,644,Business,2,48,0,1
41,466265.0,442756.0,848,Salaried,0,12,0,0
21,218292.0,542617.0,877,Self-Employed,1,12,0,0
41,290104.0,243479.0,422,Salaried,1,12,1,0
54,667803.0,333180.0,646,Salaried,0,48,1,0
42,1014934.0,368572.0,406,Salaried,1,24,2,0
23,214661.0,483295.0,396,Self-Employed,1,60,0,1
32,502800.0,260883.0,427,Self-Employed,2,36,2,0
32,484543.0,243848.0,856,Salaried,1,12,0,0
57,455503.0,50000.0,367,Salaried,2,24,1,1
29,1128302.0,486854.0,898,Salaried,1,60,0,0
64,835303.0,388459.0,741,Business,2,48,2,1
28,410188.0,148633.0,303,Salaried,0,12,0,1
28,1214722.0,666125.0,689,Salaried,0,24,0,0
42,1060978.0,378930.0,425,Business,1,12,2,1
40,528124.0,213208.0,855,Self-Employed,1,36,0,0
60,527173.0,439289.0,616,Salaried,0,48,1,1
43,744191.0,597848.0,531,Self-Employed,0,48,0,1
56,952431.0,404270.0,494,Salaried,3,12,0,0
38,724004.0,177013.0,796,Business,0,36,0,0
54,725077.0,474409.0,497,Business,1,48,0,0
29,177976.0,263909.0,406,Salaried,0,48,1,1
36,1583575.0,572424.0,699,Salaried,2,12,0,0
31,800183.0,181711.0,822,Salaried,0,60,1,0
39,915818.0,250686.0,635,Business,1,36,0,0
48,472626.0,510741.0,718,Business,0,48,2,1
38,424488.0,537298.0,753,Salaried,0,36,1,0
47,667859.0,162507.0,605,Salaried,1,36,0,0
60,677366.0,469433.0,896,Business,0,60,1,1
21,267800.0,692691.0,634,Salaried,2,48,1,1
29,598625.0,406483.0,433,Salaried,1,36,1,1
34,690942.0,762833.0,885,Salaried,1,12,1,0
45,170465.0,417819.0,851,Salaried,0,60,1,1
33,426194.0,509711.0,541,Business,1,12,0,1
55,584152.0,277098.0,588,Business,1,24,0,0
24,796599.0,432567.0,496,Business,1,60,0,0
53,899059.0,401940.0,444,Salaried,0,36,1,0
47,485448.0,512067.0,835,Self-Employed,2,12,0,1
38,150000.0,413484.0,683,Self-Employed,0,36,0,0
32,616608.0,81105.0,742,Self-Employed,0,36,0,0
22,1189182.0,511162.0,698,Salaried,0,60,0,0
58,602946.0,745493.0,355,Salaried,0,12,1,1
58,588084.0,509808.0,388,Self-Employed,2,36,3,1
30,474261.0,184774.0,800,Salaried,1,24,2,0
48,482288.0,596842.0,500,Salaried,0,60,0,0
40,464261.0,635761.0,641,Business,2,24,0,0
64,911032.0,306594.0,702,Self-Employed,1,60,0,0
41,367753.0,291551.0,478,Salaried,1,60,0,0
23,826114.0,420423.0,712,Salaried,0,60,1,0
29,725038.0,569879.0,455,Salaried,0,60,2,1
41,405614.0,170047.0,677,Business,1,12,1,0
31,473871.0,50000.0,689,Salaried,0,60,1,0
53,758148.0,629412.0,568,Salaried,0,36,0,0
23,859195.0,291578.0,362,Salaried,1,60,0,0
43,1252751.0,310368.0,867,Business,1,24,1,1
24,995114.0,303905.0,598,Business,0,12,1,0
62,496346.0,65721.0,524,Self-Employed,2,60,0,1
49,920949.0,378678.0,391,Salaried,0,36,0,0
36,674628.0,106773.0,334,Salaried,0,48,0,0
59,467857.0,523447.0,475,Salaried,1,60,0,1
30,208879.0,596123.0,648,Salaried,1,24,0,1
62,383351.0,440765.0,397,Salaried,2,36,2,1
62,1031675.0,533667.0,472,Salaried,1,48,0,0
57,905858.0,351531.0,847,Salaried,1,12,1,0
61,377988.0,411392.0,345,Salaried,1,60,0,1
33,900588.0,343064.0,492,Salaried,0,24,0,0
55,729583.0,615335.0,395,Salaried,4,12,0,1
57,441761.0,393116.0,641,Salaried,2,12,0,0
43,229516.0,319160.0,843,Self-Employed,1,36,1,1
26,266029.0,548638.0,388,Business,2,12,2,1
36,398960.0,473240.0,608,Salaried,1,24,0,1
24,849833.0,431048.0,451,Salaried,1,48,1,0
58,150000.0,204036.0,701,Salaried,2,12,1,0
43,938090.0,265430.0,776,Self-Employed,0,48,0,0
35,618693.0,52351.0,635,Salaried,0,24,1,0
57,467126.0,394766.0,389,Salaried,0,12,1,1
40,979862.0,462234.0,407,Self-Employed,0,48,0,1
58,262399.0,551857.0,499,Salaried,1,36,0,1
44,850028.0,474904.0,320,Self-Employed,1,48,1,1
26,701957.0,556900.0,463,Salaried,1,24,0,0
45,633046.0,899364.0,532,Business,1,12,0,1
32,361601.0,624942.0,771,Self-Employed,1,12,2,1
47,474668.0,268945.0,832,Salaried,2,36,1,0
55,649760.0,544131.0,758,Business,1,48,0,1
37,635755.0,366077.0,492,Salaried,0,60,1,1
62,431602.0,339167.0,771,Business,1,12,2,0
40,250194.0,258317.0,473,Salaried,1,36,2,1
55,815459.0,616300.0,598,Salaried,1,12,0,0
31,688698.0,239452.0,368,Salaried,1,60,0,0
25,502427.0,319084.0,430,Salaried,2,48,2,0
24,934596.0,520978.0,306,Salaried,0,12,2,0
25,821678.0,374313.0,569,Business,1,36,1,1
61,737780.0,438646.0,438,Salaried,1,36,0,0
28,634357.0,414905.0,555,Salaried,3,60,0,0
63,494642.0,249221.0,772,Salaried,1,24,0,0
23,286413.0,778559.0,336,Business,1,60,0,1
60,909213.0,897552.0,450,Self-Employed,1,36,0,1
31,548735.0,232144.0,482,Business,1,36,0,0
29,780147.0,211911.0,828,Self-Employed,3,24,0,0
50,382022.0,570799.0,561,Salaried,1,48,1,1
25,387951.0,406963.0,474,Salaried,1,60,0,1
21,712465.0,558490.0,523,Business,1,12,0,0
44,923008.0,313339.0,617,Business,1,24,0,0
41,758283.0,327441.0,503,Salaried,0,12,1,0
50,466418.0,262904.0,767,Salaried,2,60,0,0
52,399564.0,173269.0,328,Business,1,24,0,0
63,566857.0,321853.0,648,Business,4,24,1,0
43,296576.0,511644.0,663,Self-Employed,1,60,0,1
51,1122648.0,580178.0,515,Self-Employed,2,36,0,0
21,783697.0,574153.0,675,Salaried,0,12,2,0
55,579498.0,269717.0,789,Salaried,0,36,0,0
41,663135.0,328882.0,598,Salaried,2,48,0,0
36,1016351.0,356009.0,512,Salaried,1,48,0,0
41,961735.0,287235.0,743,Salaried,0,48,1,0
38,516933.0,496922.0,716,Self-Employed,2,48,0,1
31,335802.0,520091.0,688,Salaried,1,24,1,0
21,328953.0,286517.0,450,Self-Employed,2,60,1,1
21,894707.0,603270.0,547,Salaried,1,24,1,0
55,370417.0,528422.0,342,Salaried,0,12,0,1
56,893860.0,511966.0,763,Salaried,0,24,0,0
49,481840.0,286654.0,528,Self-Employed,2,12,1,0
62,955763.0,693991.0,885,Salaried,0,36,1,0
56,373042.0,50000.0,578,Salaried,0,60,0,0
42,722891.0,384379.0,703,Salaried,1,24,0,0
59,426129.0,156280.0,441,Salaried,1,24,0,0
45,709092.0,173082.0,440,Business,1,36,0,0
43,318809.0,50000.0,693,Self-Employed,0,24,1,0
44,759934.0,50000.0,548,Salaried,1,48,1,1
49,784920.0,331121.0,738,Self-Employed,0,24,2,1
32,917471.0,603351.0,366,Self-Employed,0,12,1,1
32,710316.0,343620.0,513,Salaried,3,36,0,0
43,650897.0,415573.0,877,Business,1,36,0,0
49,703984.0,443073.0,375,Salaried,1,12,1,1
57,643577.0,219542.0,875,Self-Employed,1,24,0,0
23,961899.0,682342.0,357,Self-Employed,2,12,0,0
50,760593.0,258765.0,744,Self-Employed,0,48,3,1
60,676043.0,379729.0,818,Salaried,0,48,1,0
62,677575.0,758978.0,783,Self-Employed,2,48,0,0
63,700795.0,213576.0,449,Self-Employed,2,24,3,1
29,1137415.0,444799.0,703,Self-Employed,1,48,2,0
59,779262.0,537500.0,342,Self-Employed,0,12,0,0
47,462490.0,588393.0,546,Salaried,3,12,2,1
38,484185.0,472755.0,378,Salaried,1,60,0,1
37,404663.0,743815.0,777,Self-Employed,1,24,0,1
28,150000.0,350420.0,637,Self-Employed,0,12,0,1
25,592055.0,160636.0,890,Salaried,1,12,0,0
24,670465.0,576820.0,768,Salaried,1,12,1,0
44,525732.0,689025.0,389,Salaried,0,48,1,1
49,679290.0,587455.0,688,Self-Employed,1,24,1,1
57,1205239.0,355139.0,739,Salaried,2,12,1,0
52,912104.0,391548.0,475,Salaried,3,12,0,1
61,859855.0,243792.0,331,Salaried,0,12,1,0
42,459588.0,567000.0,703,Self-Employed,0,12,0,1
21,663704.0,312523.0,789,Salaried,4,48,0,1
49,1045886.0,266671.0,801,Self-Employed,1,48,0,0
28,444894.0,557515.0,694,Self-Employed,2,24,0,0
64,665760.0,513781.0,882,Self-Employed,3,12,0,0
47,992651.0,572187.0,792,Business,1,36,1,0
26,1053321.0,428259.0,755,Salaried,1,60,2,0
33,1145260.0,186142.0,893,Salaried,1,12,0,0
22,776781.0,364286.0,545,Self-Employed,0,48,1,0
42,704509.0,748679.0,404,Salaried,0,24,0,1
46,443204.0,50000.0,817,Business,1,60,0,0
46,934500.0,611234.0,395,Salaried,2,24,1,0
42,595692.0,500630.0,882,Self-Employed,1,24,1,1
59,384168.0,50000.0,361,Salaried,1,12,0,0
64,960942.0,369211.0,663,Salaried,1,60,0,0
58,235920.0,527420.0,531,Salaried,2,60,0,1
46,264057.0,589930.0,747,Salaried,2,48,2,1
25,343226.0,389226.0,745,Business,1,48,1,1
50,491900.0,300643.0,844,Self-Employed,0,48,1,0
43,259632.0,320076.0,550,Salaried,1,12,2,1
53,691928.0,748748.0,870,Self-Employed,2,48,1,1
43,682327.0,281181.0,539,Salaried,0,48,0,0
55,750680.0,97397.0,326,Self-Employed,0,60,0,0
31,320142.0,697927.0,653,Salaried,1,24,0,0
34,329296.0,54145.0,870,Business,1,36,0,0
56,595298.0,155425.0,567,Salaried,2,60,1,1
54,633251.0,625079.0,436,Salaried,1,60,1,1
59,946141.0,442018.0,404,Salaried,1,12,0,0
60,768084.0,292232.0,559,Business,0,36,1,0
37,166082.0,379375.0,660,Salaried,0,60,0,1
25,329158.0,510727.0,377,Salaried,1,48,1,1
44,470858.0,447698.0,324,Salaried,0,12,1,1
21,547016.0,473590.0,617,Business,0,36,1,0
39,366281.0,582060.0,351,Salaried,0,36,2,1
30,973108.0,768229.0,485,Salaried,0,12,0,0
27,434405.0,492980.0,768,Salaried,2,12,0,1
38,567304.0,421406.0,510,Self-Employed,1,36,0,0
23,771704.0,364566.0,765,Business,0,12,0,0
35,557632.0,146265.0,355,Salaried,2,12,0,1
23,585331.0,624687.0,638,Salaried,0,60,1,1
52,712963.0,413603.0,491,Salaried,0,48,0,0
29,936084.0,71324.0,610,Salaried,1,60,1,0
34,578226.0,358659.0,496,Business,0,60,2,0
49,549463.0,50000.0,727,Business,2,48,0,0
62,384314.0,606514.0,442,Salaried,0,36,0,1
47,757313.0,257322.0,357,Salaried,2,36,0,0
60,718370.0,629896.0,870,Business,1,24,0,0
39,929646.0,288171.0,733,Business,0,60,0,0
41,531364.0,516219.0,486,Salaried,1,12,1,0
44,945135.0,609251.0,424,Self-Employed,1,60,0,1
49,909338.0,349200.0,842,Salaried,1,12,0,0
49,619303.0,675830.0,519,Business,1,60,0,1
36,514042.0,735201.0,390,Salaried,0,12,0,1
54,615105.0,665363.0,646,Salaried,0,12,2,1
21,311587.0,385392.0,769,Business,2,60,0,1
22,1047038.0,662771.0,792,Salaried,1,60,0,0
45,477774.0,398611.0,476,Salaried,2,48,0,1
